date,Brazil,China,India,Russia,South Africa,United States
2000,42.52264625,35.6471922,16.54654149,167.5039675,96.15287984,319.47567
2001,42.67713028,36.82979638,16.49605799,170.0460234,97.58611573,310.3961138
2002,43.23521668,39.05031396,16.70447392,170.0386008,94.53725488,311.0090846
2003,43.39679324,44.34873751,16.82437768,176.9028359,99.85847993,309.061772
2004,45.2630999,50.28477788,17.43537136,178.186745,107.7081219,312.5251542
2005,45.87440315,55.26349679,17.83438951,180.0592196,106.2116494,311.1341822
2006,46.95444243,60.08058904,18.48359809,185.9070766,104.1196242,305.2320043
2007,49.10625227,64.64053401,19.23546576,186.7576706,110.0604016,307.6315205
2008,51.329542,66.33501255,19.88814797,191.2495495,116.9812892,296.9219827
2009,49.17626466,70.51952852,21.59586541,179.677338,113.0930294,279.8198812
2010,53.86816479,77.50984873,22.27102263,191.0875641,109.7621749,283.9702164
2011,54.21257474,82.73464886,22.91897236,200.2229946,107.7226401,278.7591456
2012,56.05821568,85.45790613,23.75803557,204.8855043,104.5487643,272.4967991
2013,57.93550595,87.78133246,24.02123876,201.3809012,103.2055601,273.8269241
2014,59.30211035,88.69217592,25.24166732,195.997909,106.8802951,276.0091994
