Region,Literacy
Kerala,	93.41
Lakshadweep,	92.28
Mizoram,	91.58
Tripura,	87.75
Goa,	87.4
Daman and Diu,	87.07
Puducherry,	86.55
Chandigarh,	86.43
Delhi,	86.34
Andaman and Nicobar,	86.27
Himachal Pradesh,	83.78
Maharashtra,	82.91
Sikkim,	82.2
Tamil Nadu,	80.33
Nagaland,	80.11
Manipur,	79.85
Uttarakhand,	79.63
Gujarat,	79.31
Dadra and Nagar Haveli,	77.65
West Bengal,77.08
Punjab,	76.68
Haryana,	76.64
Karnataka,	75.6
Meghalaya,	75.48
Orissa,	73.45
Assam,	73.18
Chhattisgarh,	71.04
Madhya Pradesh,	70.63
Uttar Pradesh,	69.72
Jammu and Kashmir,	68.72
Andhra Pradesh,	67.66
Jharkhand,	67.63
Rajasthan,	67.06
Arunachal Pradesh,	66.95
Bihar,	63.82
