Region,Population
Andhra Pradesh,303
Arunachal Pradesh,17
Assam,397
Bihar,1102
Chhattisgarh,189
Goa,394
Gujarat,308
Haryana,573
Himachal Pradesh,123
Jammu and Kashmir,98
Jharkhand,414
Karnataka,319
Kerala,859
Madhya Pradesh,236
Maharashtra,365
Manipur,122
Meghalaya,132
Mizoram,52
Nagaland,119
Orissa,269
Punjab,550
Rajasthan,201
Sikkim,86
Tamil Nadu,555
Tripura,350
Uttar Pradesh,828
Uttarakhand,189
West Bengal,1029
Andaman and Nicobar,46
Chandigarh,9252
Dadra and Nagar Haveli,970
Daman and Diu,970
Delhi,11297
Lakshadweep,2013
Puducherry,2598
