Ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
NDMC_9,16978,69828,38186,31642,6680,3552,3128,13740,7611,6129,0,0,0,55674,31924,23750,14154,6262,7892,28927,22687,6240,27131,21515,5616,56,44,12,118,88,30,251,168,83,26706,21215,5491,1796,1172,624,30,12,18,30,19,11,39,18,21,1697,1123,574,1488,956,532,29,11,18,27,17,10,34,14,20,1398,914,484,308,216,92,1,1,0,3,2,1,5,4,1,299,209,90,40901,15499,25402
NDMC_8,6584,26715,15458,11257,2244,1200,1044,2348,1285,1063,0,0,0,22361,13442,8919,4354,2016,2338,11580,9649,1931,10992,9228,1764,10,8,2,61,51,10,350,306,44,10571,8863,1708,588,421,167,26,17,9,2,2,0,15,13,2,545,389,156,526,374,152,25,16,9,1,1,0,11,9,2,489,348,141,62,47,15,1,1,0,1,1,0,4,4,0,56,41,15,15135,5809,9326
NDMC_7,8394,38526,20214,18312,2992,1604,1388,6850,3613,3237,0,0,0,32555,17743,14812,5971,2471,3500,15580,11341,4239,14894,10922,3972,10,7,3,45,34,11,133,109,24,14706,10772,3934,686,419,267,16,12,4,3,2,1,6,4,2,661,401,260,613,363,250,13,9,4,2,1,1,5,3,2,593,350,243,73,56,17,3,3,0,1,1,0,1,1,0,68,51,17,22946,8873,14073
NDMC_6,4041,18793,9816,8977,1401,736,665,2901,1512,1389,0,0,0,16112,8692,7420,2681,1124,1557,7732,5744,1988,7464,5586,1878,5,4,1,16,11,5,65,57,8,7378,5514,1864,268,158,110,5,1,4,21,21,0,10,4,6,232,132,100,235,136,99,5,1,4,13,13,0,9,3,6,208,119,89,33,22,11,0,0,0,8,8,0,1,1,0,24,13,11,11061,4072,6989
NDMC_5,5593,23412,13136,10276,1938,1028,910,5411,2867,2544,0,0,0,18967,11156,7811,4445,1980,2465,10755,8325,2430,10291,8029,2262,14,7,7,56,35,21,155,104,51,10066,7883,2183,464,296,168,8,4,4,3,2,1,13,8,5,440,282,158,415,262,153,8,4,4,3,2,1,10,6,4,394,250,144,49,34,15,0,0,0,0,0,0,3,2,1,46,32,14,12657,4811,7846
NDMC_4,3529,14261,8046,6215,1259,636,623,2637,1430,1207,0,0,0,11591,6825,4766,2670,1221,1449,6404,5063,1341,6059,4800,1259,8,4,4,16,14,2,224,165,59,5811,4617,1194,345,263,82,6,5,1,28,19,9,15,4,11,296,235,61,216,143,73,5,4,1,20,11,9,15,4,11,176,124,52,129,120,9,1,1,0,8,8,0,0,0,0,120,111,9,7857,2983,4874
NDMC_3,5609,26915,14198,12717,2364,1259,1105,7259,3807,3452,0,0,0,21947,12133,9814,4968,2065,2903,10205,7962,2243,9767,7692,2075,18,13,5,26,20,6,79,63,16,9644,7596,2048,438,270,168,7,4,3,2,1,1,5,2,3,424,263,161,386,239,147,7,4,3,1,1,0,3,1,2,375,233,142,52,31,21,0,0,0,1,0,1,2,1,1,49,30,19,16710,6236,10474
NDMC_2,4687,21936,11934,10002,1812,975,837,5236,2746,2490,0,0,0,18050,10244,7806,3886,1690,2196,8333,6726,1607,8168,6598,1570,10,7,3,35,28,7,95,81,14,8028,6482,1546,165,128,37,4,2,2,4,1,3,1,1,0,156,124,32,122,94,28,3,2,1,3,1,2,0,0,0,116,91,25,43,34,9,1,0,1,1,0,1,1,1,0,40,33,7,13603,5208,8395
NDMC_1,3323,14217,7446,6771,1094,556,538,2940,1514,1426,0,0,0,11837,6477,5360,2380,969,1411,6422,4615,1807,6055,4391,1664,5,4,1,32,27,5,288,199,89,5730,4161,1569,367,224,143,3,1,2,1,0,1,7,4,3,356,219,137,349,215,134,2,1,1,1,0,1,7,4,3,339,210,129,18,9,9,1,0,1,0,0,0,0,0,0,17,9,8,7795,2831,4964
CANT_8,1889,7828,4674,3154,865,483,382,2038,1175,863,0,0,0,5148,3261,1887,2680,1413,1267,3533,2912,621,3076,2609,467,1,1,0,4,4,0,87,74,13,2984,2530,454,457,303,154,3,2,1,5,3,2,1,1,0,448,297,151,243,165,78,2,1,1,0,0,0,0,0,0,241,164,77,214,138,76,1,1,0,5,3,2,1,1,0,207,133,74,4295,1762,2533
CANT_7,1497,7603,3955,3648,801,423,378,3415,1752,1663,0,0,0,5643,3135,2508,1960,820,1140,2644,2108,536,2478,1987,491,1,1,0,2,1,1,46,36,10,2429,1949,480,166,121,45,1,0,1,0,0,0,10,5,5,155,116,39,112,80,32,1,0,1,0,0,0,3,2,1,108,78,30,54,41,13,0,0,0,0,0,0,7,3,4,47,38,9,4959,1847,3112
CANT_6,1414,6667,3631,3036,903,484,419,2765,1451,1314,0,0,0,4991,2923,2068,1676,708,968,2385,2009,376,2247,1906,341,3,3,0,12,10,2,32,25,7,2200,1868,332,138,103,35,0,0,0,0,0,0,13,4,9,125,99,26,118,87,31,0,0,0,0,0,0,8,2,6,110,85,25,20,16,4,0,0,0,0,0,0,5,2,3,15,14,1,4282,1622,2660
CANT_5,1834,10028,5294,4734,1319,699,620,5125,2630,2495,0,0,0,7285,4187,3098,2743,1107,1636,3136,2640,496,2943,2492,451,2,2,0,21,15,6,44,40,4,2876,2435,441,193,148,45,1,1,0,4,1,3,3,2,1,185,144,41,151,113,38,1,1,0,2,1,1,3,2,1,145,109,36,42,35,7,0,0,0,2,0,2,0,0,0,40,35,5,6892,2654,4238
CANT_4,390,1633,952,681,196,110,86,133,75,58,0,0,0,1301,779,522,332,173,159,656,594,62,615,578,37,1,1,0,0,0,0,13,13,0,601,564,37,41,16,25,0,0,0,0,0,0,0,0,0,41,16,25,40,15,25,0,0,0,0,0,0,0,0,0,40,15,25,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,977,358,619
CANT_3,15008,68558,40846,27712,7707,4242,3465,1773,895,878,0,0,0,57563,35452,22111,10995,5394,5601,30993,26134,4859,25704,22445,3259,143,128,15,164,126,38,192,59,133,25205,22132,3073,5289,3689,1600,98,59,39,65,49,16,75,34,41,5051,3547,1504,5168,3618,1550,95,57,38,54,39,15,42,14,28,4977,3508,1469,121,71,50,3,2,1,11,10,1,33,20,13,74,39,35,37565,14712,22853
CANT_2,707,3218,1711,1507,308,153,155,558,294,264,0,0,0,2211,1309,902,1007,402,605,1050,894,156,884,779,105,1,1,0,0,0,0,1,1,0,882,777,105,166,115,51,0,0,0,0,0,0,3,2,1,163,113,50,160,112,48,0,0,0,0,0,0,1,1,0,159,111,48,6,3,3,0,0,0,0,0,0,2,1,1,4,2,2,2168,817,1351
